system,utt_id,speaker_id,age_band,wer,cer
mms-1b-all,5348024557536568_chunk_1_enhanced,S4259147600324769,control,0.045454545454545456,0.016129032258064516
mms-1b-all,5348024557536599_chunk_2_enhanced,S4259147600324769,control,0.3953488372093023,0.13333333333333333
mms-1b-all,5348024557536605_chunk_1_enhanced,S4259147600324769,control,0.6,0.075
mms-1b-all,5348024557536611_chunk_4_enhanced,S4259147600324769,control,0.3888888888888889,0.13768115942028986
mms-1b-all,5348024557536612_chunk_4_enhanced,S4259147600324769,control,0.5,0.14893617021276595
mms-1b-all,5348024557536622_chunk_2_enhanced,S4259147600324769,control,0.45454545454545453,0.1986754966887417
mms-1b-all,5348024557536622_chunk_6_enhanced,S4259147600324769,control,0.46153846153846156,0.13076923076923078
mms-1b-all,5348024557536624_chunk_6_enhanced,S4259147600324769,control,0.24074074074074073,0.10344827586206896
mms-1b-all,5348024557536625_chunk_2_enhanced,S4259147600324769,control,0.3,0.12087912087912088
mms-1b-all,5348024557536625_chunk_6_enhanced,S4259147600324769,control,0.5135135135135135,0.17177914110429449
mms-1b-all,5348024557536626_chunk_4_enhanced,S4259147600324769,control,0.22727272727272727,0.07936507936507936
mms-1b-all,5348024557536627_chunk_6_enhanced,S4259147600324769,control,0.4827586206896552,0.2
mms-1b-all,5348024557536628_chunk_2_enhanced,S4259147600324769,control,0.43333333333333335,0.14035087719298245
mms-1b-all,5348024557536628_chunk_6_enhanced,S4259147600324769,control,0.43478260869565216,0.16161616161616163
mms-1b-all,5348024557536628_chunk_7_enhanced,S4259147600324769,control,0.3780487804878049,0.15263157894736842
mms-1b-all,5348024557536995_chunk_1_enhanced,S4259857900387544,control,0.1875,0.033707865168539325
mms-1b-all,5348024557536998_chunk_1_enhanced,S4259857900387544,control,0.0,0.0
mms-1b-all,5348024557537004_chunk_1_enhanced,S4259857900387544,control,0.2727272727272727,0.05263157894736842
mms-1b-all,5348024557537050_chunk_2_enhanced,S4259857900387544,control,0.23809523809523808,0.0625
mms-1b-all,5348024557537051_chunk_1_enhanced,S4259857900387544,control,0.4423076923076923,0.132
mms-1b-all,5348024557537051_chunk_2_enhanced,S4259857900387544,control,0.45454545454545453,0.11695906432748537
mms-1b-all,5348024557537278_chunk_1_enhanced,S4258796500385594,control,0.125,0.05405405405405406
mms-1b-all,5348024557537312_chunk_1_enhanced,S4258796500385594,control,0.23076923076923078,0.0547945205479452
mms-1b-all,5348024557537323_chunk_1_enhanced,S4258796500385594,control,0.3076923076923077,0.11403508771929824
mms-1b-all,5348024557537326_chunk_3_enhanced,S4258796500385594,control,0.45652173913043476,0.18137254901960784
mms-1b-all,5348024557537336_chunk_2_enhanced,S4258796500385594,control,0.4722222222222222,0.1638418079096045
mms-1b-all,5348024557537336_chunk_5_enhanced,S4258796500385594,control,0.425531914893617,0.167420814479638
mms-1b-all,5348024557537909_chunk_4_enhanced,S4259857900387544,control,0.2,0.04918032786885246
mms-1b-all,5348024557537909_chunk_6_enhanced,S4259857900387544,control,0.11764705882352941,0.056338028169014086
mms-1b-all,5348024557537992_chunk_1_enhanced,S4258911800300494,control,0.391304347826087,0.13901345291479822
mms-1b-all,5348024557538330_chunk_1_enhanced,S4258783800315889,control,0.375,0.2222222222222222
mms-1b-all,5348024557538344_chunk_2_enhanced,S4258783800315889,control,0.43478260869565216,0.12149532710280374
mms-1b-all,5348024557538390_chunk_2_enhanced,S4259569400342942,control,0.9166666666666666,0.8085106382978723
mms-1b-all,5348024557538400_chunk_3_enhanced,S4259569400342942,control,0.14285714285714285,0.04
mms-1b-all,5348024557538412_chunk_2_enhanced,S4259569400342942,control,0.3684210526315789,0.1337579617834395
mms-1b-all,5348024557538415_chunk_2_enhanced,S4259569400342942,control,0.2692307692307692,0.11504424778761062
mms-1b-all,5348024557538415_chunk_3_enhanced,S4259569400342942,control,0.16129032258064516,0.07913669064748201
mms-1b-all,5348024557538490_chunk_1_enhanced,S4257128200304373,control,0.0,0.0
mms-1b-all,5348024557538496_chunk_1_enhanced,S4257128200304373,control,0.2857142857142857,0.14173228346456693
mms-1b-all,5348024557538516_chunk_1_enhanced,S4257128200304373,control,0.6923076923076923,0.4909090909090909
mms-1b-all,5348024557538517_chunk_1_enhanced,S4257128200304373,control,0.09090909090909091,0.01694915254237288
mms-1b-all,5348024557538525_chunk_3_enhanced,S4257128200304373,control,0.25925925925925924,0.13445378151260504
mms-1b-all,5348024557538532_chunk_1_enhanced,S4257128200304373,control,0.2222222222222222,0.05238095238095238
mms-1b-all,5348024557538533_chunk_3_enhanced,S4257128200304373,control,0.11538461538461539,0.017094017094017096
mms-1b-all,5348024557538533_chunk_5_enhanced,S4257128200304373,control,0.10526315789473684,0.031578947368421054
