system,utt_id,speaker_id,age_band,duration,wer,cer,divergence,substitutions,deletions,insertions,hits,ref_words,hyp_words,speaking_rate
mms-1b-all,5348024557516705_chunk_4_enhanced,S4257709800347002,control,16.561,0.23076923076923078,0.06329113924050633,0.16747809152872445,10,2,0,40,52,50,3.139907010446229
mms-1b-all,5348024557516707_chunk_2_enhanced,S4257709800347002,control,11.0490208333,0.5555555555555556,0.21428571428571427,0.3412698412698413,18,2,0,16,36,34,3.2582072695076922
mms-1b-all,5348024557516709_chunk_5_enhanced,S4257709800347002,control,13.115,0.42105263157894735,0.17679558011049723,0.24425705146845011,11,5,0,22,38,33,2.897445672893633
mms-1b-all,5348024557516709_chunk_9_enhanced,S4257709800347002,control,6.5170208333,0.3333333333333333,0.07291666666666667,0.26041666666666663,5,1,0,12,18,17,2.761998229010633
mms-1b-all,5348024557516710_chunk_1_enhanced,S4257709800347002,control,19.574,0.2857142857142857,0.09302325581395349,0.1926910299003322,11,3,0,35,49,46,2.5033207315827117
mms-1b-all,5348024557516711_chunk_3_enhanced,S4257709800347002,control,24.8880208333,0.2714285714285714,0.1308139534883721,0.1406146179401993,12,6,1,52,70,65,2.812598095640473
mms-1b-all,5348024557516712_chunk_2_enhanced,S4257709800347002,control,6.0150208333,0.25,0.06493506493506493,0.18506493506493507,4,0,0,12,16,16,2.6600074120145605
mms-1b-all,5348024557516715_chunk_3_enhanced,S4257709800347002,control,14.7560208333,0.2564102564102564,0.08982035928143713,0.16658989712881928,9,1,0,29,39,38,2.642988949431982
mms-1b-all,5348024557516717_chunk_2_enhanced,S4257709800347002,control,5.919,0.35714285714285715,0.0967741935483871,0.2603686635944701,4,1,0,9,14,13,2.3652644027707384
mms-1b-all,5348024557516718_chunk_1_enhanced,S4257709800347002,control,7.222,0.2962962962962963,0.1044776119402985,0.19181868435599778,7,0,1,20,27,28,3.738576571586818
mms-1b-all,5348024557516718_chunk_2_enhanced,S4257709800347002,control,7.5790208333,0.32,0.15702479338842976,0.16297520661157025,7,0,1,18,25,26,3.2985791370512287
mms-1b-all,5348024557517753_chunk_1_enhanced,S4256035000336645,control,7.291,0.0,0.0,0.0,0,0,0,8,8,8,1.097243176518996
mms-1b-all,5348024557517776_chunk_4_enhanced,S4256035000336645,control,1.474,0.25,0.2,0.04999999999999999,1,0,0,3,4,4,2.7137042062415198
mms-1b-all,5348024557517777_chunk_5_enhanced,S4256035000336645,control,4.725,0.0,0.0,0.0,0,0,0,11,11,11,2.3280423280423284
mms-1b-all,5348024557517778_chunk_1_enhanced,S4256035000336645,control,9.671,0.47619047619047616,0.21495327102803738,0.26123720516243876,7,1,2,13,21,22,2.1714403887912317
mms-1b-all,5348024557517778_chunk_5_enhanced,S4256035000336645,control,5.3980208333,0.6363636363636364,0.2037037037037037,0.43265993265993263,6,0,1,5,11,12,2.037783910010461
mms-1b-all,5348024557517778_chunk_8_enhanced,S4256035000336645,control,8.9070208333,0.2222222222222222,0.10101010101010101,0.1212121212121212,1,0,3,17,18,21,2.0208777252102936
mms-1b-all,5348024557517779_chunk_2_enhanced,S4256035000336645,control,16.0670208333,0.37142857142857144,0.15723270440251572,0.21419586702605573,11,2,0,22,35,33,2.178375217355797
mms-1b-all,5348024557517784_chunk_3_enhanced,S4256035000336645,control,1.53,1.5,0.5454545454545454,0.9545454545454546,2,0,1,0,2,3,1.3071895424836601
mms-1b-all,5348024557517785_chunk_5_enhanced,S4256035000336645,control,1.695,1.0,0.9333333333333333,0.06666666666666665,2,0,0,0,2,2,1.1799410029498525
mms-1b-all,5348024557517786_chunk_5_enhanced,S4256035000336645,control,2.1760208333,0.6666666666666666,0.35294117647058826,0.31372549019607837,1,1,0,1,3,2,1.3786632710912108
mms-1b-all,5348024557517793_chunk_1_enhanced,S4256035000336645,control,12.831,0.3333333333333333,0.08823529411764706,0.24509803921568624,7,0,0,14,21,21,1.6366612111292962
mms-1b-all,5348024557517794_chunk_3_enhanced,S4256035000336645,control,6.8860208333,0.35714285714285715,0.1111111111111111,0.24603174603174605,4,1,0,9,14,13,2.0331045082375616
mms-1b-all,5348024557517794_chunk_8_enhanced,S4256035000336645,control,7.666,0.5,0.171875,0.328125,7,0,0,7,14,14,1.826245760500913
mms-1b-all,5348024557517795_chunk_3_enhanced,S4256035000336645,control,7.4500208333,0.6666666666666666,0.20833333333333334,0.45833333333333326,10,2,0,6,18,16,2.4161006261276277
mms-1b-all,5348024557519090_chunk_1_enhanced,S4259723800397320,control,8.2790208333,0.42857142857142855,0.18292682926829268,0.24564459930313587,7,2,0,12,21,19,2.536531846318527
mms-1b-all,5348024557519090_chunk_9_enhanced,S4259723800397320,control,6.8680208333,0.2222222222222222,0.08433734939759036,0.13788487282463185,3,0,1,15,18,19,2.6208423702977064
mms-1b-all,5348024557523984_chunk_1_enhanced,S4257709800347002,control,9.6160208333,0.29411764705882354,0.13636363636363635,0.15775401069518719,3,2,0,12,17,15,1.7678830250793025
mms-1b-all,5348024557525012_chunk_2_enhanced,S4257709800347002,control,5.582,0.3333333333333333,0.038461538461538464,0.2948717948717948,1,0,0,2,3,3,0.5374417771408098
mms-1b-all,5348024557530556_chunk_5_enhanced,S4259723800397320,control,6.5950208333,0.42105263157894735,0.12244897959183673,0.2986036519871106,7,0,1,12,19,20,2.8809613313219553
mms-1b-all,5348024557530556_chunk_7_enhanced,S4259723800397320,control,8.1570208333,0.09090909090909091,0.031578947368421054,0.05933014354066986,2,0,0,20,22,22,2.6970631128202833
mms-1b-all,5348024557530559_chunk_3_enhanced,S4259723800397320,control,5.056,0.42857142857142855,0.1511627906976744,0.27740863787375414,9,0,0,12,21,21,4.1534810126582276
mms-1b-all,5348024557530999_chunk_1_enhanced,S4258262800387709,control,13.9690208333,0.5,0.1774193548387097,0.3225806451612903,4,3,0,7,14,11,1.0022177049536751
mms-1b-all,5348024557531021_chunk_4_enhanced,S4258262800387709,control,1.119,0.0,0.2222222222222222,-0.2222222222222222,0,0,0,2,2,2,1.7873100983020553
mms-1b-all,5348024557531033_chunk_13_enhanced,S4258262800387709,control,5.1680208333,0.3333333333333333,0.125,0.20833333333333331,4,1,0,10,15,14,2.9024650797357303
mms-1b-all,5348024557531033_chunk_6_enhanced,S4258262800387709,control,6.963,0.625,0.18666666666666668,0.43833333333333335,10,0,0,6,16,16,2.297860117765331
mms-1b-all,5348024557531034_chunk_1_enhanced,S4258262800387709,control,2.0240208333,0.0,0.0,0.0,0,0,0,5,5,5,2.470330303788381
mms-1b-all,5348024557531034_chunk_7_enhanced,S4258262800387709,control,6.592,0.3333333333333333,0.10810810810810811,0.2252252252252252,3,0,0,6,9,9,1.3652912621359223
mms-1b-all,5348024557531035_chunk_3_enhanced,S4258262800387709,control,4.5690208333,0.0,0.0,0.0,0,0,0,5,5,5,1.0943263737295597
mms-1b-all,5348024557531035_chunk_7_enhanced,S4258262800387709,control,8.2130208333,0.08333333333333333,0.03389830508474576,0.049435028248587566,1,0,0,11,12,12,1.4610945526091388
mms-1b-all,5348024557531036_chunk_18_enhanced,S4258262800387709,control,5.1510208333,0.125,0.05555555555555555,0.06944444444444445,1,0,0,7,8,8,1.553090204621596
mms-1b-all,5348024557531036_chunk_22_enhanced,S4258262800387709,control,5.056,0.16666666666666666,0.03125,0.13541666666666666,1,0,0,5,6,6,1.1867088607594936
mms-1b-all,5348024557531036_chunk_4_enhanced,S4258262800387709,control,1.504,0.25,0.045454545454545456,0.20454545454545453,1,0,0,3,4,4,2.6595744680851063
mms-1b-all,5348024557531036_chunk_5_enhanced,S4258262800387709,control,2.368,0.6,0.30434782608695654,0.29565217391304344,2,1,0,2,5,4,2.1114864864864864
mms-1b-all,5348024557531036_chunk_7_enhanced,S4258262800387709,control,2.8480208333,0.25,0.05263157894736842,0.19736842105263158,1,0,0,3,4,4,1.4044841081324544
mms-1b-all,5348024557536568_chunk_1_enhanced,S4259147600324769,control,14.571,0.09090909090909091,0.016,0.07490909090909091,2,0,0,20,22,22,1.5098483288724178
mms-1b-all,5348024557536599_chunk_2_enhanced,S4259147600324769,control,10.7890208333,0.3953488372093023,0.12777777777777777,0.26757105943152454,15,1,1,27,43,43,3.9855331326529413
mms-1b-all,5348024557536605_chunk_1_enhanced,S4259147600324769,control,3.9820208333,0.6,0.075,0.525,2,0,1,3,5,6,1.2556438575577153
mms-1b-all,5348024557536611_chunk_4_enhanced,S4259147600324769,control,10.2280208333,0.3888888888888889,0.1386861313868613,0.2502027575020276,11,2,1,23,36,35,3.519742537362905
mms-1b-all,5348024557536612_chunk_4_enhanced,S4259147600324769,control,6.42,0.5,0.15053763440860216,0.34946236559139787,8,3,0,11,22,19,3.426791277258567
mms-1b-all,5348024557536622_chunk_2_enhanced,S4259147600324769,control,12.6770208333,0.45454545454545453,0.1986754966887417,0.25586995785671285,12,2,1,19,33,32,2.6031352660804656
mms-1b-all,5348024557536622_chunk_6_enhanced,S4259147600324769,control,8.229,0.5384615384615384,0.125,0.41346153846153844,12,1,1,13,26,26,3.1595576619273307
mms-1b-all,5348024557536624_chunk_6_enhanced,S4259147600324769,control,17.146,0.24074074074074073,0.09961685823754789,0.14112388250319285,10,1,2,43,54,55,3.149422605855593
mms-1b-all,5348024557536625_chunk_2_enhanced,S4259147600324769,control,18.456,0.3442622950819672,0.12408759124087591,0.22017470384109128,17,2,2,42,61,61,3.305158214130906
mms-1b-all,5348024557536625_chunk_6_enhanced,S4259147600324769,control,11.08,0.5135135135135135,0.15950920245398773,0.3540043110595258,16,2,1,19,37,36,3.339350180505415
mms-1b-all,5348024557536626_chunk_4_enhanced,S4259147600324769,control,12.1,0.22727272727272727,0.07407407407407407,0.1531986531986532,9,1,0,34,44,43,3.6363636363636367
mms-1b-all,5348024557536627_chunk_6_enhanced,S4259147600324769,control,7.9800208333,0.4827586206896552,0.2,0.2827586206896552,12,2,0,15,29,27,3.634075725590249
mms-1b-all,5348024557536628_chunk_2_enhanced,S4259147600324769,control,9.657,0.43333333333333335,0.14035087719298245,0.2929824561403509,11,2,0,17,30,28,3.1065548306927617
